Date,AdjClose
2023-07-03,142.90174865722656
2023-07-05,140.1313018798828
2023-07-06,139.22061157226562
2023-07-07,140.69686889648438
2023-07-10,141.78012084960938
2023-07-11,144.35882568359375
2023-07-12,145.39413452148438
2023-07-13,145.24075317382812
2023-07-14,143.54400634765625
2023-07-17,144.943603515625
2023-07-18,145.10655212402344
2023-07-19,144.04248046875
2023-07-20,143.5248260498047
2023-07-21,143.17013549804688
2023-07-24,139.83412170410156
2023-07-25,140.9269561767578
2023-07-26,140.1313018798828
2023-07-27,138.80841064453125
2023-07-28,139.39317321777344
2023-07-31,137.94566345214844
2023-08-01,139.5273895263672
2023-08-02,135.90377807617188
2023-08-03,134.47543334960938
2023-08-04,134.75344848632812
2023-08-07,137.33212280273438
2023-08-08,137.39923095703125
2023-08-09,134.27915954589844
2023-08-10,134.2887725830078
2023-08-11,131.58279418945312
2023-08-14,134.46212768554688
2023-08-15,133.73025512695312
2023-08-16,132.54576110839844
2023-08-17,132.95986938476562
2023-08-18,134.3657989501953
2023-08-21,133.47024536132812
2023-08-22,133.23912048339844
2023-08-23,132.74801635742188
2023-08-24,132.17019653320312
2023-08-25,133.24874877929688
2023-08-28,133.6917266845703
2023-08-29,135.742919921875
2023-08-30,136.7829132080078
2023-08-31,136.51327514648438
2023-09-01,136.75401306152344
2023-09-05,131.41908264160156
2023-09-06,131.9775848388672
2023-09-07,131.13980102539062
2023-09-08,130.67758178710938
2023-09-11,131.3035430908203
2023-09-12,128.88641357421875
2023-09-13,128.07752990722656
2023-09-14,129.4160614013672
2023-09-15,128.847900390625
2023-09-18,127.58637237548828
2023-09-19,127.31675720214844
2023-09-20,125.95893859863281
2023-09-21,123.54181671142578
2023-09-22,125.313720703125
2023-09-25,127.16266632080078
2023-09-26,123.84998321533203
2023-09-27,123.29144287109375
2023-09-28,125.72781372070312
2023-09-29,124.9959487915039
2023-10-02,124.58184814453125
2023-10-03,123.88848876953125
2023-10-04,128.28936767578125
2023-10-05,126.46930694580078
2023-10-06,128.2026824951172
2023-10-09,123.99441528320312
2023-10-10,125.45816802978516
2023-10-11,127.61528778076172
2023-10-12,125.24633026123047
2023-10-13,123.70553588867188
2023-10-16,125.52559661865234
2023-10-17,126.58485412597656
2023-10-18,123.05069732666016
2023-10-19,119.73802185058594
2023-10-20,120.10395812988281
2023-10-23,119.11209106445312
2023-10-24,118.30316925048828
2023-10-25,116.98387908935547
2023-10-26,117.49425506591797
2023-10-27,116.25200653076172
2023-10-30,117.311279296875
2023-10-31,118.22612762451172
2023-11-01,118.4187240600586
2023-11-02,120.29655456542969
2023-11-03,123.56108093261719
2023-11-06,123.02181243896484
2023-11-07,123.07958221435547
2023-11-08,124.75518798828125
2023-11-09,123.27438354492188
2023-11-10,124.66808319091797
2023-11-13,125.12297821044922
2023-11-14,129.21693420410156
2023-11-15,129.3234100341797
2023-11-16,130.81393432617188
2023-11-17,131.5010528564453
2023-11-20,131.20103454589844
2023-11-21,132.18824768066406
2023-11-22,132.24630737304688
2023-11-24,132.06240844726562
2023-11-27,132.87539672851562
2023-11-28,133.63999938964844
2023-11-29,135.062744140625
2023-11-30,137.42428588867188
2023-12-01,139.01153564453125
2023-12-04,138.54696655273438
2023-12-05,138.06304931640625
2023-12-06,138.1114501953125
2023-12-07,140.318115234375
2023-12-08,139.35028076171875
2023-12-11,141.15048217773438
2023-12-12,140.6956024169922
2023-12-13,142.72805786132812
2023-12-14,144.35403442382812
2023-12-15,143.89915466308594
2023-12-18,143.9669189453125
2023-12-19,144.70245361328125
2023-12-20,141.6150665283203
2023-12-21,142.99905395507812
2023-12-22,143.9669189453125
2023-12-26,144.87669372558594
2023-12-27,145.33157348632812
2023-12-28,145.5445098876953
2023-12-29,144.74118041992188
2024-01-02,142.54417419433594
2024-01-03,140.9375457763672
2024-01-04,140.25039672851562
2024-01-05,141.2472686767578
2024-01-08,142.650634765625
2024-01-09,141.52793884277344
2024-01-10,142.55384826660156
2024-01-11,141.68276977539062
2024-01-12,140.86981201171875
2024-01-16,139.13734436035156
2024-01-17,138.479248046875
2024-01-18,140.2891082763672
2024-01-19,136.84356689453125
2024-01-22,137.5694580078125
2024-01-23,137.85983276367188
2024-01-24,136.49513244628906
2024-01-25,138.19854736328125
2024-01-26,138.4405059814453
2024-01-29,138.26632690429688
2024-01-30,138.4695587158203
2024-01-31,136.5048065185547
2024-02-01,136.9500274658203
2024-02-02,135.58538818359375
2024-02-05,133.14642333984375
2024-02-06,135.3917999267578
2024-02-07,134.8885040283203
2024-02-08,134.17233276367188
2024-02-09,135.09178161621094
2024-02-12,136.3693084716797
2024-02-13,134.27879333496094
2024-02-14,135.59506225585938
2024-02-15,138.4829559326172
2024-02-16,137.987060546875
2024-02-20,137.25778198242188
2024-02-21,138.7065887451172
2024-02-22,139.41641235351562
2024-02-23,140.37904357910156
2024-02-26,138.40516662597656
2024-02-27,137.0147247314453
2024-02-28,136.59657287597656
2024-02-29,137.6856231689453
2024-03-01,135.66311645507812
2024-03-04,135.3714141845703
2024-03-05,134.95327758789062
2024-03-06,136.2465362548828
2024-03-07,137.0049591064453
2024-03-08,136.8396759033203
2024-03-11,138.5607452392578
2024-03-12,137.40362548828125
2024-03-13,137.95787048339844
2024-03-14,135.1186065673828
2024-03-15,134.0489959716797
2024-03-18,135.22555541992188
2024-03-19,137.6856231689453
2024-03-20,138.32737731933594
2024-03-21,139.6400604248047
2024-03-22,138.61907958984375
2024-03-25,137.248046875
2024-03-26,137.8995361328125
2024-03-27,140.54432678222656
