Date,AdjClose
2023-07-03,90.2236557006836
2023-07-05,90.75553894042969
2023-07-06,89.63268280029297
2023-07-07,89.95771026611328
2023-07-10,92.193603515625
2023-07-11,92.94218444824219
2023-07-12,94.61663055419922
2023-07-13,93.83851623535156
2023-07-14,93.57258605957031
2023-07-17,94.7348403930664
2023-07-18,93.93701171875
2023-07-19,93.3066177368164
2023-07-20,95.43416595458984
2023-07-21,95.14852142333984
2023-07-24,95.09927368164062
2023-07-25,96.05469512939453
2023-07-26,95.87740325927734
2023-07-27,93.98625183105469
2023-07-28,94.30144500732422
2023-07-31,95.1977767944336
2023-08-01,94.85302734375
2023-08-02,94.11431121826172
2023-08-03,99.62030792236328
2023-08-04,102.37823486328125
2023-08-07,102.19109344482422
2023-08-08,103.23516845703125
2023-08-09,103.5306625366211
2023-08-10,104.1314926147461
2023-08-11,105.23958587646484
2023-08-14,105.67413330078125
2023-08-15,104.92354583740234
2023-08-16,103.79766845703125
2023-08-17,103.52114868164062
2023-08-18,103.47176361083984
2023-08-21,104.79517364501953
2023-08-22,104.94330596923828
2023-08-23,107.0962905883789
2023-08-24,105.59512329101562
2023-08-25,104.55813598632812
2023-08-28,104.0643310546875
2023-08-29,104.23223114013672
2023-08-30,104.42974090576172
2023-08-31,102.86933135986328
2023-09-01,105.9605484008789
2023-09-05,104.73590850830078
2023-09-06,105.31858825683594
2023-09-07,107.19505310058594
2023-09-08,107.29380798339844
2023-09-11,108.6172103881836
2023-09-12,107.15554809570312
2023-09-13,107.916015625
2023-09-14,111.06647491455078
2023-09-15,108.56784057617188
2023-09-18,109.36779022216797
2023-09-19,109.17027282714844
2023-09-20,108.7653579711914
2023-09-21,108.57771301269531
2023-09-22,108.99250793457031
2023-09-25,110.819580078125
2023-09-26,107.14566802978516
2023-09-27,109.37767028808594
2023-09-28,107.96539306640625
2023-09-29,107.7283706665039
2023-10-02,103.43225860595703
2023-10-03,103.59027862548828
2023-10-04,104.84455871582031
2023-10-05,106.54322814941406
2023-10-06,108.80484771728516
2023-10-09,109.9998550415039
2023-10-10,111.59979248046875
2023-10-11,113.64413452148438
2023-10-12,114.28609466552734
2023-10-13,112.28124237060547
2023-10-16,115.38233184814453
2023-10-17,115.6983642578125
2023-10-18,114.63174438476562
2023-10-19,112.87381744384766
2023-10-20,110.71094512939453
2023-10-23,110.72081756591797
2023-10-24,112.85405731201172
2023-10-25,110.64181518554688
2023-10-26,111.32327270507812
2023-10-27,109.40728759765625
2023-10-30,111.6294174194336
2023-10-31,111.5207748413086
2023-11-01,113.42686462402344
2023-11-02,115.73786926269531
2023-11-03,115.61935424804688
2023-11-06,123.1844482421875
2023-11-07,118.38465881347656
2023-11-08,119.67842864990234
2023-11-09,119.13523864746094
2023-11-10,120.26111602783203
2023-11-13,120.21173095703125
2023-11-14,124.9522705078125
2023-11-15,120.47838592529297
2023-11-16,120.44075775146484
2023-11-17,120.46057891845703
2023-11-20,121.04460906982422
2023-11-21,121.27229309082031
2023-11-22,122.00480651855469
2023-11-24,122.60865020751953
2023-11-27,123.83611297607422
2023-11-28,123.19269561767578
2023-11-29,119.36178588867188
2023-11-30,119.817138671875
2023-12-01,118.66886138916016
2023-12-04,117.71855163574219
2023-12-05,117.1147232055664
2023-12-06,111.49211120605469
2023-12-07,109.41331481933594
2023-12-08,110.0864486694336
2023-12-11,114.97654724121094
2023-12-12,113.33330535888672
2023-12-13,115.25371551513672
2023-12-14,114.43209838867188
2023-12-15,117.55027770996094
2023-12-18,118.15412139892578
2023-12-19,119.58946228027344
2023-12-20,115.82785034179688
2023-12-21,117.1147232055664
2023-12-22,114.16483306884766
2023-12-26,116.38219451904297
2023-12-27,116.23370361328125
2023-12-28,115.92684936523438
2023-12-29,115.70906066894531
2024-01-02,114.08563232421875
2024-01-03,114.6795654296875
2024-01-04,114.19452667236328
2024-01-05,115.06562805175781
2024-01-08,115.84764862060547
2024-01-09,115.31310272216797
2024-01-10,114.6795654296875
2024-01-11,111.76927947998047
2024-01-12,111.76927947998047
2024-01-16,110.68038940429688
2024-01-17,110.78926849365234
2024-01-18,110.28443145751953
2024-01-19,113.29371643066406
2024-01-22,116.02582550048828
2024-01-23,117.49088287353516
2024-01-24,114.50138854980469
2024-01-25,119.33209228515625
2024-01-26,120.04481506347656
2024-01-29,119.78744506835938
2024-01-30,120.64865112304688
2024-01-31,120.76744079589844
2024-02-01,126.34056091308594
2024-02-02,128.3995361328125
2024-02-05,125.74662017822266
2024-02-06,129.6864013671875
2024-02-07,131.161376953125
2024-02-08,129.3993377685547
2024-02-09,130.83468627929688
2024-02-12,127.21166229248047
2024-02-13,126.61772918701172
2024-02-14,127.37005615234375
2024-02-15,130.17147827148438
2024-02-16,129.83489990234375
2024-02-20,130.46841430664062
2024-02-21,130.07247924804688
2024-02-22,132.0423583984375
2024-02-23,132.6363067626953
2024-02-26,131.87408447265625
2024-02-27,154.1863555908203
2024-02-28,169.10409545898438
2024-02-29,166.7481689453125
2024-03-01,168.27259826660156
2024-03-04,174.2119903564453
2024-03-05,174.98411560058594
2024-03-06,178.1616668701172
2024-03-07,178.1150665283203
2024-03-08,169.17857360839844
2024-03-11,166.54025268554688
2024-03-12,166.9965057373047
2024-03-13,166.4906463623047
2024-03-14,163.29693603515625
2024-03-15,164.16976928710938
2024-03-18,167.46266174316406
2024-03-19,171.00355529785156
2024-03-20,174.27662658691406
2024-03-21,172.7095184326172
2024-03-22,176.7860107421875
2024-03-25,185.732421875
2024-03-26,183.89749145507812
2024-03-27,183.38174438476562
